system,param,current_value,type,sweep_tier,consumed_vec,consumed_tier2,consumed_live,test_status,n_runs_obs,distinct_values_tested,best_value_seen,best_mean_pool_sharpe,priority_rank,suggested_action,suggested_path,sweep_enabled,test_values,user_set_value,notes
crypto,MITIGATOR_TIER2_REDUCE_PCT,0.5,float,DEAD,0,0,0,OBSOLETE,,,,,1,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,0.25|0.375|0.5|0.625|0.75,,
crypto,OBLIGATORY_REENTRY_TIER2_HTF_REQUIRED,1,int,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,1,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.5|0.75|1|1.25|1.5,,
crypto,R2_PEAK_MIN_PCT,0.5,float,VEC_SCREEN,1,0,1,UNTESTED,,,,,1,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.25|0.375|0.5|0.625|0.75,,
crypto,R2_TF_LIST,"('15m',)",tuple,VEC_SCREEN,1,0,1,BLOCKED,,,,,1,BLOCKED,Sweepable=False (no test range). Needs a range in baseline spec before it can be screened.,N,,,
crypto,REENTRY_TIER2_MAX_MINUTES,120,float,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,1,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,60|90|120|150|180,,
crypto,REENTRY_TIER2_MIN_MINUTES,10,float,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,1,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,5|7.5|10|12.5|15,,
crypto,REENTRY_TIER2_PRICE_PCT,0.003,float,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,1,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.0015|0.00225|0.003|0.00375|0.0045,,
crypto,REENTRY_TIER2_SIZE_MULT,0.8,float,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,1,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.4|0.6|0.8|1|1.2,,
crypto,BOUNCE_AUGMENT_DC_LOW_D_TOLERANCE,0.02,float,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,2,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.01|0.015|0.02|0.025|0.03,,
crypto,BREAKEVEN_DC_LOW4_ENABLED,True,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,2,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,DC_LOW4_STOP_ENABLED,False,bool,VEC_SCREEN,1,1,0,UNTESTED,,,,,2,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,DC_LOW_STOP_ENABLED,False,bool,VEC_SCREEN,1,1,0,UNTESTED,,,,,2,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,ABLATION_DISABLE_CHECK_NOLOSS,False,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,4,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,DELTA_EXIT_OVERRIDE_NOLOSS,True,bool,DEAD,0,0,0,OBSOLETE,,,,,4,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,HEDGE_EXIT_BYPASS_NOLOSS,False,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,4,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,NOLOSS_BYPASS_WT_5OF5_ENABLED,False,bool,ENGINE_SCREEN,0,1,0,UNTESTED,,,,,4,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,NOLOSS_BYPASS_WT_5OF5_MIN_TFS,5,int,DEAD,0,0,0,OBSOLETE,,,,,4,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,2.5|3.75|5|6.25|7.5,,
crypto,NOLOSS_DC4H_GATE_ENABLED,True,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,4,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,NOLOSS_MIN_PROFIT_PCT,0,float,ENGINE_SCREEN_LIVECALL,0,0,1,TESTED,184,-999.0,-999,0,4,RETEST_ADOPT,"History favors NOLOSS_MIN_PROFIT_PCT=-999.0 (mean pool_sharpe 0.0 over 184 runs) vs current 0. Re-run Tier-2 OFAT at sample floor to confirm, THEN promote — do not adopt on history alone.",Y,-1498.5|-1248.75|-999|-749.25|-499.5,,
crypto,REGIME_RANGING_NOLOSS_MIN,0.05,float,VEC_SCREEN,1,0,0,UNTESTED,,,,,4,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.025|0.0375|0.05|0.0625|0.075,,
crypto,REGIME_TRENDING_NOLOSS_MIN,0.5,float,VEC_SCREEN,1,0,0,UNTESTED,,,,,4,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.25|0.375|0.5|0.625|0.75,,
crypto,UNIVERSAL_NOLOSS_GATE,False,bool,VEC_SCREEN,1,1,1,UNTESTED,,,,,4,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,UNIVERSAL_NOLOSS_GATE_BYPASS_REASONS,,list,VEC_SCREEN,1,1,1,BLOCKED,,,,,4,BLOCKED,Sweepable=False (no test range). Needs a range in baseline spec before it can be screened.,N,,,
crypto,UNIVERSAL_NOLOSS_GATE_BYPASS_TECHNICAL,True,bool,VEC_SCREEN,1,0,1,UNTESTED,,,,,4,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,ABLATION_DISABLE_QUICK_EXIT,False,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,ABLATION_DISABLE_SPIKE_FADE_EXIT,False,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,BOUNCE_TOP_EXIT_ENABLED,False,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,BTC_BREAKOUT_REENTRY_ON_EXIT,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,BTC_DIVERGENCE_EXIT_AGAINST,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,BTC_INTRABAR_REVERSAL_EXIT,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,BTC_REVERSE_ON_EXIT_ENABLED,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,BTC_TECH_EXIT_AT_ANY_PNL,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,BTC_TECH_EXIT_DC_BREACH_TF,15m,str,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,,,
crypto,BTC_TECH_EXIT_WT_MIN_TFS,3,int,VEC_SCREEN,1,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,1.5|2.25|3|3.75|4.5,,
crypto,CYCLE_TP_CONDITIONAL_EXIT,0.003,float,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,0.0015|0.00225|0.003|0.00375|0.0045,,
crypto,DAEMON_REENTRY_STALE_EXIT_ENABLED,True,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,DC_HOPELESS_EXIT_ENABLED,True,bool,VEC_SCREEN,1,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,DC_HOPELESS_EXIT_MIN_AGE_S,900,int,VEC_SCREEN,1,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,450|675|900|1125|1350,,
crypto,DC_RECOVERY_EXIT_DISABLED_ACCOUNTS,,list,LIVE_ONLY,0,0,1,LIVE_ONLY,,,,,5,FORWARD_TEST,"Live-only, no backtest path -> cannot sweep. Forward-test vs live over time; keep current value until live evidence.",N,,,
crypto,DC_RECOVERY_EXIT_ENABLED,False,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,DC_RECOVERY_EXIT_TOLERANCE_ATR_MULT,0,float,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0|0.5|1,,
crypto,DC_RECOVERY_EXIT_TOLERANCE_PCT,0.25,float,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.125|0.1875|0.25|0.3125|0.375,,
crypto,DELTA_EXIT_ACCEL_THRESHOLD,-0.1,float,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,-0.15|-0.125|-0.1|-0.075|-0.05,,
crypto,DELTA_EXIT_DC_FLOOR,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,DELTA_EXIT_DECAY_RATIO,0.9,float,ENGINE_SCREEN,0,1,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.45|0.675|0.9|1.125|1.35,,
crypto,DELTA_EXIT_DOM_TF_ENABLED,True,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,DELTA_EXIT_ENABLED,True,bool,ENGINE_SCREEN,0,1,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,DELTA_EXIT_MIN_HOLD,4,int,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,2|3|4|5|6,,
crypto,DELTA_EXIT_MIN_TF_LOST,1,int,ENGINE_SCREEN,0,1,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.5|0.75|1|1.25|1.5,,
crypto,DELTA_EXIT_OPPOSING_RATIO,1.5,float,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.75|1.125|1.5|1.875|2.25,,
crypto,DELTA_EXIT_SCORE_BONUS,20,int,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,10|15|20|25|30,,
crypto,DELTA_EXIT_SPEED_DECAY,True,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,DELTA_EXIT_SPEED_DECAY_MIN_GAIN,0.5,float,VEC_SCREEN,1,0,0,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.25|0.375|0.5|0.625|0.75,,
crypto,DELTA_EXIT_SPEED_DECAY_MIN_TFS,2,int,VEC_SCREEN,1,0,0,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,1|1.5|2|2.5|3,,
crypto,DELTA_EXIT_SPEED_DECAY_VEC_ENABLED,False,bool,VEC_SCREEN,1,0,0,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,DELTA_EXIT_TF,3m,str,LIVE_ONLY,0,0,1,LIVE_ONLY,,,,,5,FORWARD_TEST,"Live-only, no backtest path -> cannot sweep. Forward-test vs live over time; keep current value until live evidence.",N,,,
crypto,DELTA_EXIT_WT_CROSS,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,DELTA_LT_EXIT_TF,4h,str,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,,,
crypto,DELTA_REENTRY_REQUIRE_NOT_EXITING,True,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,EXIT_AUTO_REDUCE_CROSSUNDER_ENABLED,False,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,EXIT_DC_BREACH_REDUCE_ENABLED,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,EXIT_DEAD_CODE_ENABLED,False,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,EXIT_DELTA_SPEED_ENABLED,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,EXIT_EMERGENCY_DC1H_ENABLED,False,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,EXIT_GAIN_EROSION_ENABLED,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,EXIT_GAIN_THRESHOLD_MIN,1,float,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,0.5|0.75|1|1.25|1.5,,
crypto,EXIT_HARD_MAX_LOSS_CAP_ENABLED,False,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,EXIT_HEDGE_LOSS_KILL_ENABLED,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,EXIT_HEDGE_ORPHAN_KILL_ENABLED,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,EXIT_KEY_LEVEL_CRASH_ENABLED,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,EXIT_MARKET_SPIKE_REDUCE_ENABLED,True,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,EXIT_ON_ALL_ENABLED,False,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,EXIT_OVERRIDE_REDUCE_DETERIORATED_ENABLED,True,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,EXIT_PREEMPTIVE_BREAKEVEN_ENABLED,True,bool,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,EXIT_SCORER_DC_EXTREME,0.8,float,VEC_SCREEN,1,0,0,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.4|0.6|0.8|1|1.2,,
crypto,EXIT_SCORER_FULL_SCORE,100,float,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,50|75|100|125|150,,
crypto,EXIT_SCORER_K_EXTREME,75,float,VEC_SCREEN,1,0,0,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,37.5|56.25|75|93.75|112.5,,
crypto,EXIT_SCORER_MIN_CONDITIONS,5,int,VEC_SCREEN,1,0,0,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,2.5|3.75|5|6.25|7.5,,
crypto,EXIT_SCORER_PARTIAL_SCORE,40,float,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,20|30|40|50|60,,
crypto,EXIT_STDEV_BREAKOUT_FAIL_ENABLED,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,EXIT_TREND_REVERSAL_ENABLED,True,bool,DEAD,0,0,0,OBSOLETE,,,,,5,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,True|False,,
crypto,E_1_EXIT_DELTA_THR,50,float,VEC_SCREEN,1,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,25|37.5|50|62.5|75,,
crypto,E_1_WT_EXIT_USE_DELTA_ENABLED,False,bool,VEC_SCREEN,1,0,1,UNTESTED,,,,,5,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
