sym,side,gain_pct,bh_gain_pct,delta_vs_bh_pct,gain_per_mo_pct,max_dd_pct,trades,window_days,window_months,bars,capital_usd,source,run_state,run_id
AAPL,LONG,5425.60,32.97,5392.63,451.65,0.0407696,59,365.7,12.01,,10000,autonomous_direct_v8,REJECTED,autonomous_v8_1786601169_b1d8470485d5e678
HAO,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
HII,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
HL,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
IBIT,LONG,11567.77,-46.06,11613.83,962.95,0.01902084,118,365.7,12.01,,10000,autonomous_direct_v8,REJECTED,autonomous_v8_1786599129_af18f3d3ac100152
IBIT,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
INTC,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
KGC,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
LAC,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
LDOS,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
LEXX,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
LLY,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
LNG,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
LRCX,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
LSCC,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
MNTS,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
MOS,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
MPC,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
MP,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
MRVL,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
MSTR,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
MU,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
NEM,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
NKE,SHORT,-4385.78,45.53,-4431.31,-365.09,4372.32086933,48,365.7,12.01,,10000,autonomous_direct_v8_path_probe,REJECTED,autonomous_path_v8_1786605306_721a0cb83b213189
NLR,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
NOC,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
NVDA,LONG,3768.50,22.61,3745.89,313.71,0.18078415,38,365.7,12.01,,10000,autonomous_direct_v8_path_probe,REJECTED,autonomous_path_v8_1786619081_bd046b24287c3fac
NXE,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
OKE,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
OLED,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
OLED,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
ORCL,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
PAAS,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
PBF,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
PR,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
PSX,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
PWR,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
QRVO,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
RBLX,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
RDDT,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
RGLD,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
ROBO,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
ROKU,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
RRC,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
SCCO,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
SNDK,LONG,2833.64,3224.81,-391.17,235.88,0.00943895,33,365.7,12.01,,10000,autonomous_direct_v8,REJECTED,autonomous_v8_1786597741_d42ab626eaee6afe
SNOW,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
STLD,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
TDG,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
TECK,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
TECK,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
TRGP,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
TSLA,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
TTD,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
TXN,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
USAR,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
USAR,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
UUUU,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
VALE,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
VALE,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
VICR,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
VLO,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
VT,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
WDAY,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
WPM,SHORT,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
XLE,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
XOP,LONG,NO_LIVE_DATA_YET_STILL_12s_REPAIRED_PENDING,,,,,,,,,,,10000,PENDING,
