field,family,authoritative_default,status,predicate,source,required_persisted_arrays,required_state,missing_behavior,lifecycle_filter_consumers,applicable_actions,notes
NEWBORN_LOSS_KILL_MIN_AGE_MIN,STOP,15.0,REJECTED_DECLARED_NOT_READ,,config.py:1063,,N/A,N/A,NONE,NONE,Declared knob is not consumed by the live source path
NEWBORN_LOSS_KILL_MIN_TFS,VEC_META,,REJECTED_NO_SOURCE_SEMANTICS,,,N/A,N/A,N/A,NONE,NONE,Evaluator-generated grid row has no authoritative declaration or executable read site
NEWBORN_LOSS_KILL_REQUIRE_VEL_AGAINST,STOP,True,SOURCE_EXACT,newborn_loss_kill,ez_manage.py:40217-40266,wt_velocity_{NEWBORN_LOSS_KILL_VEL_TF_or_3m},position_active|position_above_min_qty|is_hedge|gain_pct|position_age_minutes,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Disabling this switch removes the only persisted-array dependency
NEWBORN_LOSS_KILL_SURGICAL_ONLY,STOP,True,REJECTED_DECLARED_NOT_READ,,config.py:1064,,N/A,N/A,NONE,NONE,Declared knob is not consumed by the live source path
NEWBORN_LOSS_KILL_VEL_TF,STOP,"",SOURCE_EXACT,newborn_loss_kill,ez_manage.py:40217-40266,wt_velocity_{selected_tf},position_active|position_above_min_qty|is_hedge|gain_pct|position_age_minutes,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Empty selects native crypto 3m exactly; no timeframe substitution
NEWBORN_LOSS_KILL_WINDOW_MIN,STOP,30.0,SOURCE_EXACT,newborn_loss_kill,ez_manage.py:40217-40266,wt_velocity_{NEWBORN_LOSS_KILL_VEL_TF_or_3m},position_active|position_above_min_qty|is_hedge|gain_pct|position_age_minutes,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Inclusive zero-to-window age gate
NOLOSS_DC4H_GATE_ENABLED,EXIT,True,REJECTED_SOURCE_INERT,,ez_positions_quick.py:14544-14575,dc_high_4h|dc_low_4h,N/A,N/A,NONE,NONE,Inputs are computed but the only branch that blocks the close is commented out
OBLIGATORY_HEDGE_ENABLED,HEDGE,False,SOURCE_EXACT,obligatory_hedge_fire,position_evaluator.py:955-1040;1120-1260,wt1/wt2_of_enabled_1m|3m|15m|1h,position_active|position_above_min_qty|gain_pct|hard_exit_reason|is_reduce|hedge_already_active|hedge_attempt_succeeded,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE|EXIT|STOP|HEDGE|HOLD,REDUCE|EXIT|STOP|HEDGE|HOLD,Only active inside UNIVERSAL_NOLOSS_GATE and real-loss territory
OBLIGATORY_HEDGE_WT_TFS_REQUIRED,HEDGE,0,SOURCE_EXACT,obligatory_hedge_fire,position_evaluator.py:955-1040;1120-1260,wt1/wt2_of_enabled_1m|3m|15m|1h,position_active|position_above_min_qty|gain_pct|hard_exit_reason|is_reduce|hedge_already_active|hedge_attempt_succeeded,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE|EXIT|STOP|HEDGE|HOLD,REDUCE|EXIT|STOP|HEDGE|HOLD,Count trigger is OR-composed with the precedence-chain trigger
OBLIGATORY_HEDGE_WT_USE_15M,HEDGE,False,SOURCE_EXACT,obligatory_hedge_fire,position_evaluator.py:955-1040;1120-1260,wt1_15m|wt2_15m,position_active|position_above_min_qty|gain_pct|hard_exit_reason|is_reduce|hedge_already_active|hedge_attempt_succeeded,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE|EXIT|STOP|HEDGE|HOLD,REDUCE|EXIT|STOP|HEDGE|HOLD,15m is still read for the independent confirmation when disabled for vote counting
OBLIGATORY_HEDGE_WT_USE_1H,HEDGE,True,SOURCE_EXACT,obligatory_hedge_fire,position_evaluator.py:955-1040;1120-1260,wt1_1h|wt2_1h|wt1_15m|wt2_15m,position_active|position_above_min_qty|gain_pct|hard_exit_reason|is_reduce|hedge_already_active|hedge_attempt_succeeded,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE|EXIT|STOP|HEDGE|HOLD,REDUCE|EXIT|STOP|HEDGE|HOLD,Controls both vote count and 1h trigger operand
OBLIGATORY_HEDGE_WT_USE_1M,HEDGE,False,SOURCE_EXACT,obligatory_hedge_fire,position_evaluator.py:955-1040;1120-1260,wt1_1m|wt2_1m|wt1_15m|wt2_15m,position_active|position_above_min_qty|gain_pct|hard_exit_reason|is_reduce|hedge_already_active|hedge_attempt_succeeded,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE|EXIT|STOP|HEDGE|HOLD,REDUCE|EXIT|STOP|HEDGE|HOLD,Optional vote input
OBLIGATORY_HEDGE_WT_USE_3M,HEDGE,True,SOURCE_EXACT,obligatory_hedge_fire,position_evaluator.py:955-1040;1120-1260,wt1_3m|wt2_3m|wt1_15m|wt2_15m,position_active|position_above_min_qty|gain_pct|hard_exit_reason|is_reduce|hedge_already_active|hedge_attempt_succeeded,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE|EXIT|STOP|HEDGE|HOLD,REDUCE|EXIT|STOP|HEDGE|HOLD,Controls both vote count and 3m trigger operand
UNDERWATER_HEDGE_OR_CLOSE_ENABLED,STOP,True,SOURCE_EXACT,underwater_hedge_fire|underwater_force_close,ez_manage.py:42080-42220,wt1/wt2_15m|1h|4h|D,position_active|position_above_min_qty|gain_pct|seconds_since_underwater_action|hedge_already_active|hedge_engine_available|hedge_attempt_succeeded|symbol_is_usdc,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:HEDGE|EXIT|STOP,HEDGE|EXIT|STOP,15m adverse state starts the branch; action depends on coverage state
UNDERWATER_HEDGE_OR_CLOSE_HTF_CLOSE_REQUIRED,STOP,2,SOURCE_EXACT,underwater_force_close,ez_manage.py:42160-42202,wt1/wt2_15m|1h|4h|D,position_active|position_above_min_qty|gain_pct|seconds_since_underwater_action|hedge_already_active|symbol_is_usdc,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,HTF vote threshold applies only when a hedge is already active
UNDERWATER_HOC_USDC_MAKER_BYPASS,STOP,True,SOURCE_EXACT,underwater_force_close,ez_manage.py:42185-42202,wt1/wt2_15m|1h|4h|D,position_active|position_above_min_qty|gain_pct|seconds_since_underwater_action|hedge_already_active|symbol_is_usdc,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Requires USDC symbol and MICRO_SCALP_USDC_MAKER_ENABLED
UNIVERSAL_NOLOSS_GATE_BYPASS_REASONS,FILTER,"[""R1_"",""R2_"",""R3_HTF_FLIP"",""R4_STDEV_MACRO"",""HEDGE_FAILED"",""MTF_ATR_TRAIL"",""MTF_DC_REJECT"",""MTF_BB_REJECT"",""MTF_GR_WT_EXIT"",""GR_HTF_DIRECT_EXIT"",""LIQUIDATION"",""EMERGENCY_DC1H_BREACH"",""EMERGENCY"",""PARABOLIC_EXIT"",""GAIN_EROSION"",""STRUCTURAL_RANGE_SHIFT"",""DD_BOUNCE_STOP"",""REENTRY_BREAKOUT"",""OVERNIGHT_GAP_HEDGE_REMOVE"",""PARTIAL_PROFIT_LOCK"",""EOD_FORCE_FLAT"",""BREAKEVEN_AFTER_""]",SOURCE_EXACT,noloss_allow_reduce,position_evaluator.py:926-948;1120-1150,NONE,hard_exit_reason|gain_pct|is_hedge|is_reduce,NO_ARRAY_DEPENDENCY,consume_lifecycle_actions:REDUCE|EXIT|STOP|HEDGE|HOLD,REDUCE|EXIT|STOP|HEDGE|HOLD,Case-insensitive substring list; resolved venue config value is authoritative
UNIVERSAL_NOLOSS_GATE_BYPASS_TECHNICAL,FILTER,True,SOURCE_EXACT,noloss_allow_reduce,position_evaluator.py:926-948;1120-1150,NONE,hard_exit_reason|gain_pct|is_hedge|is_reduce,NO_ARRAY_DEPENDENCY,consume_lifecycle_actions:REDUCE|EXIT|STOP|HEDGE|HOLD,REDUCE|EXIT|STOP|HEDGE|HOLD,Master for the technical reason substring list
WRONG_SIDE_ABS_KILL_ENABLED,STOP,True,SOURCE_EXACT,wrong_side_abs_kill,ez_manage.py:43791-43865,wt1/wt2_3m|15m|1h|4h|D plus conditional stoch_k/stoch_d_3m|15m|1h,position_active|position_above_min_qty|is_hedge|position_age_minutes,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Uses configurable vote thresholds rather than the stale 8-of-8 comment
WRONG_SIDE_K_TFS_REQUIRED,FILTER,0,SOURCE_EXACT,wrong_side_abs_kill,ez_manage.py:43837-43852,stoch_k/stoch_d_3m|15m|1h when value is positive,position_active|position_above_min_qty|is_hedge|position_age_minutes,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Zero disables stochastic data as a causal requirement
WRONG_SIDE_MIN_AGE_MIN,STOP,30.0,SOURCE_EXACT,wrong_side_abs_kill,ez_manage.py:43812-43865,wt1/wt2_3m|15m|1h|4h|D plus conditional stoch arrays,position_active|position_above_min_qty|is_hedge|position_age_minutes,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Inclusive position-age grace period
WRONG_SIDE_WT_TFS_REQUIRED,FILTER,4,SOURCE_EXACT,wrong_side_abs_kill,ez_manage.py:43830-43852,wt1/wt2_3m|15m|1h|4h|D,position_active|position_above_min_qty|is_hedge|position_age_minutes,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Current authoritative threshold is four despite stale source comment saying all five
WT15M_AGAINST_FORCE_HEDGE_COOLDOWN_SEC,HEDGE,30.0,SOURCE_EXACT,wt15m_force_hedge|wt15m_force_close,ez_manage.py:41594-41720,wt1_15m|wt2_15m plus rsi_4h|rsi_1h|bb_pct_b_4h when parabolic protection is enabled,position_active|position_above_min_qty|seconds_since_wt15_action|hedge_already_active|hedge_engine_available,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:HEDGE|EXIT|STOP,HEDGE|EXIT|STOP,Inclusive cooldown boundary
WT15M_AGAINST_FORCE_HEDGE_ENABLED,HEDGE,False,SOURCE_EXACT,wt15m_force_hedge|wt15m_force_close,ez_manage.py:41594-41720,wt1_15m|wt2_15m plus rsi_4h|rsi_1h|bb_pct_b_4h when parabolic protection is enabled,position_active|position_above_min_qty|seconds_since_wt15_action|hedge_already_active|hedge_engine_available,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:HEDGE|EXIT|STOP,HEDGE|EXIT|STOP,Uncovered position attempts a hedge; only an already-covered nonparabolic primary force-closes
