field,family,authoritative_default,status,predicate,source,required_persisted_arrays,required_state,missing_behavior,lifecycle_filter_consumers,applicable_actions,notes
RATIO_REBALANCE_MAX_CLOSES,REDUCE,3,SOURCE_EXACT,ratio_close_overweight_reduce,ez_manage.py:31500-31570,wt1/wt2_15m,ordered overweight winners|commission buffer,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE,REDUCE,Smallest absolute WT15 difference first
RATIO_REBALANCE_MAX_OPENS_EXTREME,ENTRY,12,SOURCE_EXACT,ratio_underweight_open_augment,ez_manage.py:31577-31730,selected HTF recipe,candidate rank|score|price|portfolio skew,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:ENTRY|AUGMENT,ENTRY|AUGMENT,Extreme-ratio family cap before skew cap
RATIO_REBALANCE_MAX_OPENS_NORMAL,ENTRY,8,SOURCE_EXACT,ratio_underweight_open_augment,ez_manage.py:31577-31730,selected HTF recipe,candidate rank|score|price|portfolio skew,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:ENTRY|AUGMENT,ENTRY|AUGMENT,Normal family cap before skew cap
RATIO_REBALANCE_MAX_OPENS_STUCK,ENTRY,10,SOURCE_EXACT,ratio_underweight_open_augment,ez_manage.py:31577-31730,selected HTF recipe,candidate rank|score|price|stuck loser count,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:ENTRY|AUGMENT,ENTRY|AUGMENT,Used when stuck-loser count is at least five
RATIO_REBALANCE_SIZE_MAX_MULT,SIZING,10.0,SOURCE_EXACT,ratio_rebalance_size_multiplier,ez_manage.py:31627-31637,NONE,portfolio skew|start position size,N/A,consume_lifecycle_actions:ENTRY|AUGMENT,ENTRY|AUGMENT,Upper clamp on effective multiplier
RATIO_REBALANCE_SIZE_MULT,SIZING,4.0,SOURCE_EXACT,ratio_rebalance_size_multiplier,ez_manage.py:31627-31637,NONE,portfolio skew|start position size,N/A,consume_lifecycle_actions:ENTRY|AUGMENT,ENTRY|AUGMENT,Base multiplier
RATIO_REBALANCE_SIZE_SKEW_BOOST,SIZING,0.05,SOURCE_EXACT,ratio_rebalance_size_multiplier,ez_manage.py:31627-31637,NONE,portfolio skew|start position size,N/A,consume_lifecycle_actions:ENTRY|AUGMENT,ENTRY|AUGMENT,Linear boost per skew percentage point
STALL_AGE_MIN_MIN,FILTER,180.0,SOURCE_EXACT,stall_sub_close,ez_manage.py:31121-31247,NONE,position age|gain|hedge flag|delta speeds,N/A,consume_lifecycle_actions:EXIT,EXIT,Inclusive minimum age then oldest-first ordering
STALL_DELTA_SPEED_MAX,FILTER,1.0,SOURCE_EXACT,stall_sub_close,ez_manage.py:31121-31247,NONE,absolute bull and bear delta speed,N/A,consume_lifecycle_actions:EXIT,EXIT,Maximum of absolute speeds must be inclusive below threshold
STALL_GAIN_ABS_MAX,FILTER,0.5,SOURCE_EXACT,stall_sub_close,ez_manage.py:31121-31247,NONE,position gain,N/A,consume_lifecycle_actions:EXIT,EXIT,Absolute gain comparison is strict
STALL_MAX_CLOSES_PER_CYCLE,EXIT,2,SOURCE_EXACT,stall_sub_close,ez_manage.py:31121-31247,NONE,ordered stalled positions,N/A,consume_lifecycle_actions:EXIT,EXIT,Oldest-first action cap
STALL_SUB_ENABLED,EXIT,False,SOURCE_EXACT,stall_sub_close,ez_manage.py:31121-31247,NONE,position age|gain|hedge flag|delta speeds,N/A,consume_lifecycle_actions:EXIT,EXIT,Runs before ratio cooldown
RATIO_BOOST_ENABLED,VEC_META,,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Catalog row has no authoritative executable predicate
RATIO_REDUCE_ENABLED,VEC_META,,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Workbook vector adapter row has no authoritative live source contract
RATIO_REDUCE_FILTER_TF,VEC_META,,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Workbook vector adapter row has no authoritative live source contract
RATIO_REDUCE_MIN_TFS,VEC_META,,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Workbook vector adapter row has no authoritative live source contract
RATIO_SIZE_ENABLED,VEC_META,,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Workbook vector adapter row has no authoritative live source contract
RATIO_SIZE_FILTER_TF,VEC_META,,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Workbook vector adapter row has no authoritative live source contract
RATIO_SIZE_MIN_TFS,VEC_META,,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Workbook vector adapter row has no authoritative live source contract
STALL_SUB_FILTER_TF,VEC_META,,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Workbook vector adapter row has no authoritative live source contract
STALL_SUB_MIN_TFS,VEC_META,,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Workbook vector adapter row has no authoritative live source contract
