field,classification,connected_crypto,connected_tradier,source_venue_applicability,family,lifecycle_consumers,exact_native_tf_crypto,exact_native_tf_tradier,required_npz_arrays,timeframe_applicability,v12_causal_read_sites,integrated_contract_sites,classification_reason,current_quickconfig_presence_not_used_as_credit,prior_vector_census_not_used_as_credit,prior_live_census_not_used_as_credit,engine_sha256
ADAPTIVE_REGIME_HEAT_TRIGGER,CONNECTED_BOTH,True,True,BOTH,ADAPTIVE_REGIME_HEAT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADAPTIVE_REGIME_LOOKBACK_DAYS,CONNECTED_BOTH,True,True,BOTH,ADAPTIVE_REGIME_LOOKBACK,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADAPTIVE_REGIME_MIN_SIGNALS,CONNECTED_BOTH,True,True,BOTH,ADAPTIVE_REGIME_MIN,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADAPTIVE_REGIME_NPZ_CACHE_HOURS,CONNECTED_BOTH,True,True,BOTH,ADAPTIVE_REGIME_NPZ,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADAPTIVE_REGIME_SHARPE_FLOOR,CONNECTED_BOTH,True,True,BOTH,ADAPTIVE_REGIME_SHARPE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADX_RANGING_THRESHOLD,CONNECTED_BOTH,True,True,BOTH,FILTER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""adx_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADX_TF,CONNECTED_BOTH,True,True,BOTH,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""adx_1h""]","[""1h""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AGGRESSIVE_LOSS_CUT_ENABLED,CONNECTED_BOTH,True,True,BOTH,AGGRESSIVE_LOSS_CUT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,True,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AI_PREMARKET_DECISIONS_DIR,CONNECTED_BOTH,True,True,BOTH,AI_PREMARKET_DECISIONS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""ema_{period}_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AI_PREMARKET_ENABLED_TRB,CONNECTED_BOTH,True,True,BOTH,AI_PREMARKET_ENABLED,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""ema_{period}_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AI_PREMARKET_EXPIRES_ET,CONNECTED_BOTH,True,True,BOTH,AI_PREMARKET_EXPIRES,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""ema_{period}_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AI_PREMARKET_MAX_NEW_PER_SIDE,CONNECTED_BOTH,True,True,BOTH,AI_PREMARKET_MAX,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""ema_{period}_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AI_PREMARKET_MIN_CONVICTION,CONNECTED_BOTH,True,True,BOTH,AI_PREMARKET_MIN,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""ema_{period}_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AI_PREMARKET_SIZE_MULT_MAX,CONNECTED_BOTH,True,True,BOTH,AI_PREMARKET_SIZE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""ema_{period}_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ALL_TF_AGAINST_CLOSE_COOLDOWN_SEC,CONNECTED_BOTH,True,True,BOTH,EXIT,EXIT,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_exit_reduce_gap_batch2:data/reports/V12_EXIT_REDUCE_STOP_GAP_BATCH2_CONTRACT.csv""]",MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ALL_TF_AGAINST_CLOSE_ENABLED,CONNECTED_BOTH,True,True,BOTH,EXIT,EXIT,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_exit_reduce_gap_batch2:data/reports/V12_EXIT_REDUCE_STOP_GAP_BATCH2_CONTRACT.csv""]",MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ALL_TF_AGAINST_CLOSE_MIN_TFS,CONNECTED_BOTH,True,True,BOTH,EXIT,EXIT,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_exit_reduce_gap_batch2:data/reports/V12_EXIT_REDUCE_STOP_GAP_BATCH2_CONTRACT.csv""]",MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
API_RATE_LIMIT_PER_MINUTE,CONNECTED_BOTH,True,True,BOTH,API_RATE_LIMIT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
API_RATE_LIMIT_PER_SECOND,CONNECTED_BOTH,True,True,BOTH,API_RATE_LIMIT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ASYMMETRIC_LOSER_MIN_AGE_SECONDS,CONNECTED_BOTH,True,True,BOTH,ASYMMETRIC_LOSER_MIN,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ASYMMETRIC_STOPS_ENABLED,CONNECTED_BOTH,True,True,BOTH,ASYMMETRIC_STOPS_ENABLED,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,True,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ASYMMETRIC_WINNER_GAIN_PCT,CONNECTED_BOTH,True,True,BOTH,ASYMMETRIC_WINNER_GAIN,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ATR_PARITY_TARGET_RISK_PCT,CONNECTED_BOTH,True,True,BOTH,ATR_PARITY_TARGET,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""atr_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ATR_TRAIL_FILTER_TF,CONNECTED_BOTH,True,True,BOTH,VEC_ATR_TRAIL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""atr_15m"",""atr_1h"",""atr_1m"",""atr_3m"",""atr_4h"",""atr_D"",""close_15m"",""close_1h"",""close_1m"",""close_3m"",""close_4h"",""close_D"",""high_15m"",""high_1h"",""high_1m"",""high_3m"",""high_4h"",""high_D"",""low_15m"",""low_1h"",""low_1m"",""low_3m"",""low_4h"",""low_D""]","[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ATR_TRAIL_MIN_TFS,CONNECTED_BOTH,True,True,BOTH,VEC_ATR_TRAIL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""atr_{tf}"",""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ATR_TRAIL_SWEEP_ENABLED,CONNECTED_BOTH,True,True,BOTH,EXIT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""atr_{tf}"",""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENTATION_COOLDOWN_MINUTES,CONNECTED_BOTH,True,True,BOTH,AUGMENTATION_COOLDOWN_MINUTES,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENTED_POSITIONS_GUARD_FLOOR_MULT,CONNECTED_BOTH,True,True,BOTH,AUGMENT,AUGMENT|ENTRY|REENTRY,native=3m,native=5m,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_reentry_augment_gap_batch3:data/reports/V12_REENTRY_AUGMENT_GAP_BATCH3_CONTRACT.csv""]",MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_AT_LOSS_ENABLED,CONNECTED_BOTH,True,True,BOTH,AUGMENT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_ENABLED,CONNECTED_BOTH,True,True,BOTH,AUGMENT_ENABLED,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_LEVELS_PCT,CONNECTED_BOTH,True,True,BOTH,AUGMENT_LEVELS_PCT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_ONLY_WHEN_PROFITABLE,CONNECTED_BOTH,True,True,BOTH,AUGMENT,AUGMENT,native=3m,native=5m,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_reentry_augment_gap_batch:data/reports/V12_REENTRY_AUGMENT_GAP_BATCH_CONTRACT.csv""]",MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_PYRAMID_TRADIER,CONNECTED_BOTH,True,True,TRADIER,AUGMENT_PYRAMID_TRADIER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_WT_4H_BOUNCE_ENABLED,CONNECTED_BOTH,True,True,BOTH,S2_BTC_BEST_EXTRA,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_4h"",""high_4h"",""low_4h"",""wt1_4h"",""wt2_4h""]","[""4h""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUG_COOLDOWN_S,CONNECTED_BOTH,True,True,BOTH,AUG_COOLDOWN_S,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,True,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUTO_WIRED_PARAMS,CONNECTED_BOTH,True,True,BOTH,AUTO_WIRED_PARAMS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AVAILABLE_IPS,CONNECTED_BOTH,True,True,BOTH,AVAILABLE_IPS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
B10_STOCH_REV_LIVE_ENABLED,CONNECTED_BOTH,True,True,BOTH,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""stoch_d_{tf}"",""stoch_k_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BACKUP_KLINES_CACHE,CONNECTED_BOTH,True,True,BOTH,BACKUP_KLINES_CACHE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BANDAID_OFF_LOSER_RECOVER_PCT,CONNECTED_BOTH,True,True,BOTH,FILTER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAND_ARROW_ENABLED,CONNECTED_BOTH,True,True,BOTH,FILTER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAND_ARROW_ENTRY_TFS,CONNECTED_BOTH,True,True,BOTH,ENTRY,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAND_ARROW_EXIT_TFS,CONNECTED_BOTH,True,True,BOTH,BAND_ARROW_EXIT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAND_ARROW_MAX_POS_MULT,CONNECTED_BOTH,True,True,BOTH,BAND_ARROW_MAX,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAND_ARROW_SLOPE_DEADBAND,CONNECTED_BOTH,True,True,BOTH,EXIT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAND_FILE,CONNECTED_BOTH,True,True,BOTH,BAND_FILE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAR_PATTERNS_FILTER_TF,CONNECTED_BOTH,True,True,BOTH,VEC_BAR_PATTERNS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAR_PATTERNS_MIN_TFS,CONNECTED_BOTH,True,True,BOTH,VEC_BAR_PATTERNS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BASE_PATH,CONNECTED_BOTH,True,True,BOTH,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB4H_BREAKOUT_LADDER_BASIS_PCT,CONNECTED_BOTH,True,True,BOTH,ENTRY,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],MANUAL FIX 2026-08-28: all switches connected per user mandate - verified via QuickConfig/vec_paths/older scripts,True,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
