field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,lifecycle_filter_consumers,source_exact_site,missing_behavior
WT_COMPOSITE_DELTA_SCORE_ENABLED,bool,true,"[false,true]",WT_DELTA_SCORE,wt_composite_delta,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2497-2506,FAIL_CLOSED_N_A_DATA
WT_COMPOSITE_DELTA_SCORE_THRESHOLD,float,50.0,[50.0],WT_DELTA_SCORE,wt_composite_delta,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2497-2506,FAIL_CLOSED_N_A_DATA
WT_COMPOSITE_DELTA_SCORE_BONUS,float,3.0,[3.0],WT_DELTA_SCORE,wt_composite_delta,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2497-2506,FAIL_CLOSED_N_A_DATA
R_S1_WT_COMPOSITE_DELTA_USE_ENABLED,bool,false,"[false,true]",R_S1,wt_composite_delta,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2440-2450,FAIL_CLOSED_N_A_DATA
R_S1_WT_COMPOSITE_DELTA_THR,float,50.0,[50.0],R_S1,wt_composite_delta,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2440-2450,FAIL_CLOSED_N_A_DATA
R_S2_WT_ADAPTIVE_OS_ENABLED,bool,false,"[false,true]",R_S2,wt_percentile_15m,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2451-2463,FAIL_CLOSED_N_A_DATA
R_S2_WT_PCT_OS_LONG,float,10.0,[10.0],R_S2,wt_percentile_15m,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2451-2463,FAIL_CLOSED_N_A_DATA
R_S2_WT_PCT_OB_SHORT,float,90.0,[90.0],R_S2,wt_percentile_15m,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2451-2463,FAIL_CLOSED_N_A_DATA
R_S3_DIV_STACK_ENABLED,bool,false,"[false,true]",R_S3,wt_divergence_{native}|wt_divergence_15m|wt_divergence_1h|wt_divergence_4h|wt_divergence_D,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2507-2546,FAIL_CLOSED_N_A_DATA
R_S3_HIDDEN_BONUS,float,25.0,[25.0],R_S3,wt_divergence_{native}|wt_divergence_15m|wt_divergence_1h|wt_divergence_4h|wt_divergence_D,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2507-2546,FAIL_CLOSED_N_A_DATA
R_S3_MAIN_PENALTY,float,-20.0,[-20.0],R_S3,wt_divergence_{native}|wt_divergence_15m|wt_divergence_1h|wt_divergence_4h|wt_divergence_D,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2507-2546,FAIL_CLOSED_N_A_DATA
R_S3_HTF_WEIGHT_ENABLED,bool,false,"[false,true]",R_S3,wt_divergence_{native}|wt_divergence_15m|wt_divergence_1h|wt_divergence_4h|wt_divergence_D,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2507-2546,FAIL_CLOSED_N_A_DATA
R_S3_TF_WEIGHT_3M,float,0.25,[0.25],R_S3,wt_divergence_{native}|wt_divergence_15m|wt_divergence_1h|wt_divergence_4h|wt_divergence_D,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2512-2518,FAIL_CLOSED_N_A_DATA
R_S3_TF_WEIGHT_15M,float,0.5,[0.5],R_S3,wt_divergence_{native}|wt_divergence_15m|wt_divergence_1h|wt_divergence_4h|wt_divergence_D,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2512-2518,FAIL_CLOSED_N_A_DATA
R_S3_TF_WEIGHT_1H,float,1.0,[1.0],R_S3,wt_divergence_{native}|wt_divergence_15m|wt_divergence_1h|wt_divergence_4h|wt_divergence_D,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2512-2518,FAIL_CLOSED_N_A_DATA
R_S3_TF_WEIGHT_4H,float,2.5,[2.5],R_S3,wt_divergence_{native}|wt_divergence_15m|wt_divergence_1h|wt_divergence_4h|wt_divergence_D,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2512-2518,FAIL_CLOSED_N_A_DATA
R_S3_TF_WEIGHT_D,float,4.0,[4.0],R_S3,wt_divergence_{native}|wt_divergence_15m|wt_divergence_1h|wt_divergence_4h|wt_divergence_D,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2512-2518,FAIL_CLOSED_N_A_DATA
R_S4_HA_STREAK_ENABLED,bool,false,"[false,true]",R_S4,ha_streak_{configured_tf}|ha_{configured_tf},candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2585-2595,FAIL_CLOSED_N_A_DATA
R_S4_HA_STREAK_TF,str,"""1h""","[""1h""]",R_S4,ha_streak_{configured_tf}|ha_{configured_tf},candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2585-2595,FAIL_CLOSED_N_A_DATA
R_S4_HA_STREAK_WEIGHT,float,5.0,[5.0],R_S4,ha_streak_{configured_tf}|ha_{configured_tf},candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2585-2595,FAIL_CLOSED_N_A_DATA
R_S5_SENT_VEL_ENABLED,bool,false,"[false,true]",R_S5,0sentiment_velocity,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2596-2603,FAIL_CLOSED_N_A_DATA
R_S5_SENT_VEL_PCT_THR,float,75.0,[75.0],R_S5,0sentiment_velocity,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2596-2603,FAIL_CLOSED_N_A_DATA
R_S5_SENT_VEL_BONUS,float,5.0,[5.0],R_S5,0sentiment_velocity,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2596-2603,FAIL_CLOSED_N_A_DATA
R_S7_HHLL_STACK_ENABLED,bool,false,"[false,true]",R_S7,high_{configured_native_tf}|high_{configured_native_tf}_prev|low_{configured_native_tf}|low_{configured_native_tf}_prev|wt_structure_{configured_native_tf}|k_{configured_native_tf}|k_{configured_native_tf}_prev,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2547-2584,FAIL_CLOSED_N_A_DATA
R_S7_HHLL_TFS,str,"""15m,1h,4h,D""","[""15m,1h,4h,D""]",R_S7,high_{configured_native_tf}|high_{configured_native_tf}_prev|low_{configured_native_tf}|low_{configured_native_tf}_prev|wt_structure_{configured_native_tf}|k_{configured_native_tf}|k_{configured_native_tf}_prev,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2547-2584,FAIL_CLOSED_N_A_DATA
R_S7_HHLL_MIN_INDICATORS,int,2,[2],R_S7,high_{configured_native_tf}|high_{configured_native_tf}_prev|low_{configured_native_tf}|low_{configured_native_tf}_prev|wt_structure_{configured_native_tf}|k_{configured_native_tf}|k_{configured_native_tf}_prev,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2547-2584,FAIL_CLOSED_N_A_DATA
R_S7_HHLL_BONUS_PER_TF,float,3.0,[3.0],R_S7,high_{configured_native_tf}|high_{configured_native_tf}_prev|low_{configured_native_tf}|low_{configured_native_tf}_prev|wt_structure_{configured_native_tf}|k_{configured_native_tf}|k_{configured_native_tf}_prev,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2547-2584,FAIL_CLOSED_N_A_DATA
R_S7_HHLL_MIN_TFS_FOR_BONUS,int,2,[2],R_S7,high_{configured_native_tf}|high_{configured_native_tf}_prev|low_{configured_native_tf}|low_{configured_native_tf}_prev|wt_structure_{configured_native_tf}|k_{configured_native_tf}|k_{configured_native_tf}_prev,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2547-2584,FAIL_CLOSED_N_A_DATA
