param,family,main_switch,activation_dependencies,master_resolution,group,registry_role,role,kind,default,test_values,default_control_present,grid_repair_reasons,screen_backends,differential_readiness,deployment_scope,binding_evidence,static_read_sites,promotion_blockers,precedence_layer,precedence_order,retest_class,description,description_source,switch_guidance,per_symbol_live_read,consumed_by,invalidates_layers,requires_controls
ABLATION_DISABLE_PERIODIC_REENTRY,ABLATION_DISABLE_PERIODIC,,[],SELF_MASTER,ENTRY,MAIN_SWITCH,MAIN_SWITCH,bool,False,"[true, false]",True,[],"[""EXACT_V8""]",READY_EXACT_ONLY,GLOBAL_ONLY,DIRECT_LIVE_CONFIG_READ,"{""live_decision"": [""tradier_manage.py""]}",[],FAMILY_MASTER,10,FAMILY_AND_DOWNSTREAM,ENTRY MAIN SWITCH — turns the ablation disable periodic reentry action family on/off; its OFF control must remove that family's actions before any dependent setting is ranked; off=True; global-only.,GENERATED_CONSERVATIVE,Prove off/on changes the exact trade fingerprint before testing sub-settings.,False,"{""live"": true, ""tier2"": false, ""vec"": false}","[""FAMILY_MASTER"", ""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING"", ""CROSS_CUTTING_GUARD""]","[""CONTRACT_DATA_CAUSALITY"", ""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
ABLATION_DISABLE_QUICK_ENTRY,ABLATION_DISABLE_QUICK,,[],SELF_MASTER,ENTRY,MAIN_SWITCH,MAIN_SWITCH,bool,False,"[true, false]",True,[],"[""EXACT_V8""]",RESEARCH_ONLY_NONDEPLOYABLE,NONDEPLOYABLE_NO_LIVE_READ,NO_LIVE_DECISION_READ,"{""exact_wrapper"": [""v8_quick_engine.py""]}","[""NO_LIVE_DECISION_READ""]",FAMILY_MASTER,10,FAMILY_AND_DOWNSTREAM,"ENTRY MAIN SWITCH — turns the ablation disable quick entry action family on/off; its OFF control must remove that family's actions before any dependent setting is ranked; off=True; global-only. RESEARCH ONLY — no current live-decision read site was found, so a backtest result cannot be deployed as this knob.",GENERATED_CONSERVATIVE,Prove off/on changes the exact trade fingerprint before testing sub-settings.,False,"{""live"": false, ""tier2"": true, ""vec"": false}","[""FAMILY_MASTER"", ""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING"", ""CROSS_CUTTING_GUARD""]","[""CONTRACT_DATA_CAUSALITY"", ""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
ABLATION_DISABLE_QUICK_EXIT,ABLATION_DISABLE_QUICK,,[],SELF_MASTER,EXIT,MAIN_SWITCH,MAIN_SWITCH,bool,False,"[true, false]",True,[],"[""EXACT_V8""]",RESEARCH_ONLY_NONDEPLOYABLE,NONDEPLOYABLE_NO_LIVE_READ,NO_LIVE_DECISION_READ,"{""exact_wrapper"": [""v8_quick_engine.py""]}","[""NO_LIVE_DECISION_READ""]",FAMILY_MASTER,10,FAMILY_AND_DOWNSTREAM,"EXIT MAIN SWITCH — turns the ablation disable quick exit action family on/off; its OFF control must remove that family's actions before any dependent setting is ranked; off=True; global-only. RESEARCH ONLY — no current live-decision read site was found, so a backtest result cannot be deployed as this knob.",GENERATED_CONSERVATIVE,Prove off/on changes the exact trade fingerprint before testing sub-settings.,False,"{""live"": false, ""tier2"": true, ""vec"": false}","[""FAMILY_MASTER"", ""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING"", ""CROSS_CUTTING_GUARD""]","[""CONTRACT_DATA_CAUSALITY"", ""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
ABLATION_DISABLE_RATIO_REBALANCE,ABLATION_DISABLE_RATIO,,[],SELF_MASTER,OTHER,MAIN_SWITCH,MAIN_SWITCH,bool,False,"[true, false]",True,[],"[""EXACT_V8""]",READY_EXACT_ONLY,GLOBAL_ONLY,DIRECT_LIVE_CONFIG_READ,"{""live_decision"": [""tradier_manage.py""]}",[],FAMILY_MASTER,10,FAMILY_AND_DOWNSTREAM,OTHER MAIN SWITCH — turns the ablation disable ratio rebalance action family on/off; its OFF control must remove that family's actions before any dependent setting is ranked; off=True; global-only.,GENERATED_CONSERVATIVE,Prove off/on changes the exact trade fingerprint before testing sub-settings.,False,"{""live"": true, ""tier2"": false, ""vec"": false}","[""FAMILY_MASTER"", ""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING"", ""CROSS_CUTTING_GUARD""]","[""CONTRACT_DATA_CAUSALITY"", ""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
ABLATION_DISABLE_REENTRY,ABLATION_DISABLE_REENTRY,,[],SELF_MASTER,ENTRY,MAIN_SWITCH,MAIN_SWITCH,bool,False,"[true, false]",True,[],"[""EXACT_V8""]",READY_EXACT_ONLY,GLOBAL_ONLY,DIRECT_LIVE_CONFIG_READ,"{""exact_wrapper"": [""v8_quick_engine.py""], ""live_decision"": [""tradier_manage.py""]}",[],FAMILY_MASTER,10,FAMILY_AND_DOWNSTREAM,ENTRY MAIN SWITCH — turns the ablation disable reentry action family on/off; its OFF control must remove that family's actions before any dependent setting is ranked; off=True; global-only.,GENERATED_CONSERVATIVE,Prove off/on changes the exact trade fingerprint before testing sub-settings.,False,"{""live"": true, ""tier2"": true, ""vec"": false}","[""FAMILY_MASTER"", ""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING"", ""CROSS_CUTTING_GUARD""]","[""CONTRACT_DATA_CAUSALITY"", ""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
ABLATION_DISABLE_REENTRY_ENFORCE,ABLATION_DISABLE_REENTRY,,[],SELF_MASTER,ENTRY,MAIN_SWITCH,MAIN_SWITCH,bool,False,"[true, false]",True,[],"[""EXACT_V8""]",READY_EXACT_ONLY,GLOBAL_ONLY,DIRECT_LIVE_CONFIG_READ,"{""live_decision"": [""tradier_manage.py""]}",[],FAMILY_MASTER,10,FAMILY_AND_DOWNSTREAM,ENTRY MAIN SWITCH — turns the ablation disable reentry enforce action family on/off; its OFF control must remove that family's actions before any dependent setting is ranked; off=True; global-only.,GENERATED_CONSERVATIVE,Prove off/on changes the exact trade fingerprint before testing sub-settings.,False,"{""live"": true, ""tier2"": false, ""vec"": false}","[""FAMILY_MASTER"", ""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING"", ""CROSS_CUTTING_GUARD""]","[""CONTRACT_DATA_CAUSALITY"", ""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
ABLATION_DISABLE_SPIKE_FADE_EXIT,ABLATION_DISABLE_SPIKE,,[],SELF_MASTER,EXIT,MAIN_SWITCH,MAIN_SWITCH,bool,False,"[true, false]",True,[],"[""EXACT_V8""]",READY_EXACT_ONLY,GLOBAL_ONLY,DIRECT_LIVE_CONFIG_READ,"{""live_decision"": [""tradier_manage.py""]}",[],FAMILY_MASTER,10,FAMILY_AND_DOWNSTREAM,EXIT MAIN SWITCH — turns the ablation disable spike fade exit action family on/off; its OFF control must remove that family's actions before any dependent setting is ranked; off=True; global-only.,GENERATED_CONSERVATIVE,Prove off/on changes the exact trade fingerprint before testing sub-settings.,False,"{""live"": true, ""tier2"": false, ""vec"": false}","[""FAMILY_MASTER"", ""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING"", ""CROSS_CUTTING_GUARD""]","[""CONTRACT_DATA_CAUSALITY"", ""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
ADX_TRENDING_THRESHOLD,ADX_TRENDING,,[],STANDALONE_OR_UNRESOLVED,OTHER,FILTER,FILTER,num,25.0,"[12.5, 18.75, 25.0, 31.25, 37.5]",True,[],"[""EXACT_V8""]",RESEARCH_ONLY_NONDEPLOYABLE,NONDEPLOYABLE_NO_LIVE_READ,NO_LIVE_DECISION_READ,{},"[""NO_LIVE_DECISION_READ""]",CROSS_CUTTING_GUARD,15,CROSS_CUTTING_BUNDLE,"OTHER FILTER — sets the cross-cutting ADX trending threshold regime/alignment/risk condition or value; because it may gate several action families, use a same-fold complete-bundle control; off=None; global-only. RESEARCH ONLY — no current live-decision read site was found, so a backtest result cannot be deployed as this knob.",GENERATED_CONSERVATIVE,"Numeric polarity is signal-dependent; screen a bounded range, never guess.",False,"{""live"": false, ""tier2"": true, ""vec"": false}","[""CROSS_CUTTING_GUARD"", ""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING""]","[""CONTRACT_DATA_CAUSALITY"", ""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
ALIGNMENT_GATE_MIN,ALIGNMENT_GATE,,[],STANDALONE_OR_UNRESOLVED,OTHER,FILTER,FILTER,num,4,"[2, 3, 4, 5, 6]",True,[],"[""EXACT_V8""]",READY_EXACT_ONLY,GLOBAL_ONLY,DIRECT_LIVE_CONFIG_READ,"{""live_decision"": [""tradier_manage.py""]}",[],CROSS_CUTTING_GUARD,15,CROSS_CUTTING_BUNDLE,"OTHER FILTER — sets the cross-cutting alignment gate minimum regime/alignment/risk condition or value; because it may gate several action families, use a same-fold complete-bundle control; off=None; global-only.",GENERATED_CONSERVATIVE,"Numeric polarity is signal-dependent; screen a bounded range, never guess.",False,"{""live"": true, ""tier2"": false, ""vec"": false}","[""CROSS_CUTTING_GUARD"", ""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING""]","[""CONTRACT_DATA_CAUSALITY"", ""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
ALIGNMENT_GATE_TOTAL,ALIGNMENT_GATE_TOTAL,,[],STANDALONE_OR_UNRESOLVED,OTHER,FILTER,FILTER,num,36,"[18, 27, 36, 45, 54]",True,[],"[""EXACT_V8""]",READY_EXACT_ONLY,GLOBAL_ONLY,DIRECT_LIVE_CONFIG_READ,"{""live_decision"": [""tradier_manage.py""]}",[],CROSS_CUTTING_GUARD,15,CROSS_CUTTING_BUNDLE,"OTHER FILTER — sets the cross-cutting alignment gate total regime/alignment/risk condition or value; because it may gate several action families, use a same-fold complete-bundle control; off=None; global-only.",GENERATED_CONSERVATIVE,"Numeric polarity is signal-dependent; screen a bounded range, never guess.",False,"{""live"": true, ""tier2"": true, ""vec"": false}","[""CROSS_CUTTING_GUARD"", ""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING""]","[""CONTRACT_DATA_CAUSALITY"", ""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
ATR_ADAPTIVE_SIZING_ENABLED,ATR_ADAPTIVE_SIZING,,[],SELF_MASTER,SIZING,MAIN_SWITCH,MAIN_SWITCH,bool,False,"[true, false]",True,[],"[""EXACT_V8""]",RESEARCH_ONLY_NONDEPLOYABLE,NONDEPLOYABLE_NO_LIVE_READ,NO_LIVE_DECISION_READ,{},"[""NO_LIVE_DECISION_READ""]",FAMILY_MASTER,10,FAMILY_AND_DOWNSTREAM,"SIZING MAIN SWITCH — turns the ATR adaptive sizing enabled action family on/off; its OFF control must remove that family's actions before any dependent setting is ranked; off=False; global-only. RESEARCH ONLY — no current live-decision read site was found, so a backtest result cannot be deployed as this knob.",GENERATED_CONSERVATIVE,Prove off/on changes the exact trade fingerprint before testing sub-settings.,False,"{""live"": false, ""tier2"": true, ""vec"": false}","[""FAMILY_MASTER"", ""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING"", ""CROSS_CUTTING_GUARD""]","[""CONTRACT_DATA_CAUSALITY"", ""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
ATR_ADAPTIVE_SIZING_TARGET_PCT,ATR_ADAPTIVE_SIZING,ATR_ADAPTIVE_SIZING_ENABLED,"[""ATR_ADAPTIVE_SIZING_ENABLED""]",VERIFIED_PREFIX_OR_EXPLICIT,SIZING,SUB_SETTING,SUB_SETTING,num,1.5,"[0.75, 1.125, 1.5, 1.875, 2.25]",True,[],"[""EXACT_V8""]",RESEARCH_ONLY_NONDEPLOYABLE,NONDEPLOYABLE_NO_LIVE_READ,NO_LIVE_DECISION_READ,{},"[""NO_LIVE_DECISION_READ""]",SIZING,70,CAPITAL_METRIC_REPLAY,"SIZING SUB SETTING — sets the ATR adaptive sizing target percent deployment/quantity value; signal count may stay fixed but fills, capacity, drawdown and return must be replayed; off=None; global-only. RESEARCH ONLY — no current live-decision read site was found, so a backtest result cannot be deployed as this knob.",GENERATED_CONSERVATIVE,"Use for deployment/capacity, not to manufacture entry/exit alpha.",False,"{""live"": false, ""tier2"": true, ""vec"": false}","[""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING""]","[""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
ATR_ADAPTIVE_STOP_ENABLED,ATR_ADAPTIVE_STOP,,[],SELF_MASTER,EXIT,MAIN_SWITCH,MAIN_SWITCH,bool,True,"[true, false]",True,[],"[""EXACT_V8""]",RESEARCH_ONLY_NONDEPLOYABLE,NONDEPLOYABLE_NO_LIVE_READ,NO_LIVE_DECISION_READ,{},"[""NO_LIVE_DECISION_READ""]",FAMILY_MASTER,10,FAMILY_AND_DOWNSTREAM,"EXIT MAIN SWITCH — turns the ATR adaptive stop enabled action family on/off; its OFF control must remove that family's actions before any dependent setting is ranked; off=False; global-only. RESEARCH ONLY — no current live-decision read site was found, so a backtest result cannot be deployed as this knob.",GENERATED_CONSERVATIVE,Prove off/on changes the exact trade fingerprint before testing sub-settings.,False,"{""live"": false, ""tier2"": true, ""vec"": false}","[""FAMILY_MASTER"", ""ENTRY_SOURCE"", ""ENTRY_FILTER"", ""EXIT_SOURCE"", ""EXIT_FILTER"", ""REENTRY"", ""SIZING"", ""CROSS_CUTTING_GUARD""]","[""CONTRACT_DATA_CAUSALITY"", ""CONTRACT_SIDE_ACCOUNT"", ""CONTRACT_CAPITAL_COST"", ""CONTRACT_BASELINE_CONTROL""]"
