field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,lifecycle_filter_consumers,supported_modes,source_exact_site,missing_behavior
MI_ENTRY_EXHAUST_BONUS,int,8,[8],MI_ENTRY,wt_trough_structure_1h|wt_trough_structure_4h|wt_peak_structure_1h|wt_peak_structure_4h|wt_momentum_state_1h|wt_momentum_state_4h|wt_divergence_1h,candidate_mask|is_exit,ENTRY,crypto,ez_positions_quick.py:2704-2724,FAIL_CLOSED_N_A_DATA
K_ZONE_ENTRY_BONUS,int,25,[25],K_ZONE_ENTRY,k_3m|k_3m_prev|ha_3m|ha_3m_prev|ha_15m,candidate_mask|is_exit,ENTRY,crypto,ez_positions_quick.py:2866-2883,FAIL_CLOSED_N_A_DATA
MOMENTUM_FADE_ENABLED,bool,false,"[false,true]",MOMENTUM_FADE,high_3m|low_3m|atr_3m|relative_volume_3m|relative_volume_15m|k_3m,candidate_mask|is_exit,ENTRY,crypto,ez_positions_quick.py:2892-2910,FAIL_CLOSED_N_A_DATA
MOMENTUM_FADE_BODY_ATR_MIN,float,2.0,[2.0],MOMENTUM_FADE,high_3m|low_3m|atr_3m|relative_volume_3m|relative_volume_15m|k_3m,candidate_mask|is_exit,ENTRY,crypto,ez_positions_quick.py:2892-2910,FAIL_CLOSED_N_A_DATA
MOMENTUM_FADE_VOL_MIN,float,2.0,[2.0],MOMENTUM_FADE,high_3m|low_3m|atr_3m|relative_volume_3m|relative_volume_15m|k_3m,candidate_mask|is_exit,ENTRY,crypto,ez_positions_quick.py:2892-2910,FAIL_CLOSED_N_A_DATA
MOMENTUM_FADE_K_ZONE,bool,true,"[false,true]",MOMENTUM_FADE,high_3m|low_3m|atr_3m|relative_volume_3m|relative_volume_15m|k_3m,candidate_mask|is_exit,ENTRY,crypto,ez_positions_quick.py:2892-2910,FAIL_CLOSED_N_A_DATA
MOMENTUM_FADE_SCORE_BONUS,int,35,[35],MOMENTUM_FADE,high_3m|low_3m|atr_3m|relative_volume_3m|relative_volume_15m|k_3m,candidate_mask|is_exit,ENTRY,crypto,ez_positions_quick.py:2892-2910,FAIL_CLOSED_N_A_DATA
SENTIMENT_TOP_N_GATE_ENABLED,bool,false,"[false,true]",SENTIMENT_RANK,0sentiment_rank|0ranking_points,candidate_mask|is_exit|is_hedge,ENTRY,crypto,ez_positions_quick.py:2160-2176,FAIL_CLOSED_N_A_DATA
SENTIMENT_TOP_N,int,20,[20],SENTIMENT_RANK,0sentiment_rank|0ranking_points,candidate_mask|is_exit|is_hedge,ENTRY,crypto,ez_positions_quick.py:2160-2176,FAIL_CLOSED_N_A_DATA
OI_CONFIRM_ENABLED,bool,true,"[false,true]",OI_CONFIRM,oi_change_1h_pct|close|close_1h_prev,candidate_mask,ENTRY|REENTRY|AUGMENT,crypto|tradier,"ez_positions_quick.py:12304,12503-12542",FAIL_CLOSED_N_A_DATA
OI_CONFIRM_MIN_CHANGE_PCT,float,0.5,[0.5],OI_CONFIRM,oi_change_1h_pct|close|close_1h_prev,candidate_mask,ENTRY|REENTRY|AUGMENT,crypto|tradier,ez_positions_quick.py:12503-12542,FAIL_CLOSED_N_A_DATA
OI_CONFIRM_MIN_PRICE_PCT,float,0.3,[0.3],OI_CONFIRM,oi_change_1h_pct|close|close_1h_prev,candidate_mask,ENTRY|REENTRY|AUGMENT,crypto|tradier,ez_positions_quick.py:12503-12542,FAIL_CLOSED_N_A_DATA
HTF_GATE_APPLY_TO_OPEN,bool,true,"[false,true]",HTF_OPEN_ROUTE,wt1_D|wt2_D|wt1_4h|wt2_4h|wt1_1h|wt2_1h|close|sma_200_D,candidate_mask|is_open_target|is_augment_target|is_rz_entry|is_v3_bypass|is_ratio_recovery_bypass,ENTRY|REENTRY,crypto|tradier,ez_positions_quick.py:12478-12503;batch7.htf_direction_filter_mask,FAIL_CLOSED_N_A_DATA
