field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,lifecycle_filter_consumers,source_exact_site,missing_behavior
WT_CHOP_MAX,int,8,[8],WT_ENTRY,wt_cross_count_{side}_{native}|wt_cross_count_{side}_15m|wt_cross_count_{side}_1h,candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2188-2200,FAIL_CLOSED_N_A_DATA
WT_COMPOSITE_DELTA_GATE_ENABLED,bool,true,"[false,true]",WT_ENTRY,wt_composite_delta,candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2201-2211,FAIL_CLOSED_N_A_DATA
WT_COMPOSITE_DELTA_LONG_MIN,float,-100.0,[-100.0],WT_ENTRY,wt_composite_delta,candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2201-2211,FAIL_CLOSED_N_A_DATA
WT_COMPOSITE_DELTA_SHORT_MAX,float,100.0,[100.0],WT_ENTRY,wt_composite_delta,candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2201-2211,FAIL_CLOSED_N_A_DATA
WT_EXHAUST_ENTRY_GATE_ENABLED,bool,false,"[false,true]",WT_ENTRY,wt_momentum_state_{native}|wt_momentum_state_15m,candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2212-2221,FAIL_CLOSED_N_A_DATA
WT_PERCENTILE_ENTRY_GATE_ENABLED,bool,false,"[false,true]",WT_ENTRY,wt_percentile_D,candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2222-2230,FAIL_CLOSED_N_A_DATA
WT_PERCENTILE_ENTRY_OB_D,float,90.0,[90.0],WT_ENTRY,wt_percentile_D,candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2222-2230,FAIL_CLOSED_N_A_DATA
WT_PERCENTILE_ENTRY_OS_D,float,10.0,[10.0],WT_ENTRY,wt_percentile_D,candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2222-2230,FAIL_CLOSED_N_A_DATA
WT_DIV_ENTRY_GATE_ENABLED,bool,true,"[false,true]",WT_ENTRY,wt_any_bear_div|wt_any_bull_div,candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2231-2237,FAIL_CLOSED_N_A_DATA
R_G10_HTF_DIV_GATE_ENABLED,bool,false,"[false,true]",WT_ENTRY,wt_divergence_{configured_tf},candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2238-2254,FAIL_CLOSED_N_A_DATA
R_G10_HTF_DIV_TFS,str,"""4h,D""","[""4h,D""]",WT_ENTRY,wt_divergence_{configured_tf},candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2238-2254,FAIL_CLOSED_N_A_DATA
