field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,lifecycle_filter_consumers,source_exact_site,missing_behavior
BTC_REVERSE_ON_EXIT_ENABLED,bool,true,"[true,false]",BTC_REVERSE_ON_EXIT,,candidate_mask|opposite_breakout|restricted_entry_mode|prior_exit_matches_opposite,ENTRY|REENTRY,OPUS_VOMIT.py:4665-4690,FAIL_CLOSED_N_A_DATA
LEGACY_PROC_SINGLE_REENTRY,bool,false,"[false,true]",LEGACY_PSR,close|prev_price|k_3m|d_3m|k_3m_prev|d_3m_prev|k_15m|d_15m|k_15m_prev|d_15m_prev|dc_high_3m|dc_low_3m|dc_high_15m|dc_low_15m|dc_basis_15m|dc_basis_crossover_3m,candidate_mask|is_invalidated,REENTRY,"ez_manage.py:36691,36791",FAIL_CLOSED_N_A_DATA
LEGACY_REENTRY_PSR_DC_BOUNCE,bool,true,"[false,true]",LEGACY_PSR,close|dc_low_1h|dc_low_15m|dc_high_1h|dc_high_15m|dc_basis_15m|dc_high_1h_ant|dc_low_1h_ant,candidate_mask|hours_since_reduction|last_reduction_price,REENTRY,ez_manage.py:36865-36965,FAIL_CLOSED_N_A_DATA
LEGACY_REENTRY_PSR_FULL_DC,bool,true,"[false,true]",LEGACY_PSR,close|prev_price|k_3m|d_3m|k_3m_prev|d_3m_prev|k_15m|d_15m|k_15m_prev|d_15m_prev|dc_high_3m|dc_low_3m|dc_high_15m|dc_low_15m|dc_basis_15m|dc_basis_crossover_3m,candidate_mask|is_invalidated|position_notional|start_position_size,REENTRY,ez_manage.py:36829-36857,FAIL_CLOSED_N_A_DATA
LEGACY_REENTRY_PSR_K_DC_CROSSOVER,bool,false,"[false,true]",LEGACY_PSR,close|prev_price|k_3m|d_3m|k_3m_prev|d_3m_prev|k_15m|d_15m|k_15m_prev|d_15m_prev|dc_high_3m|dc_low_3m|dc_high_15m|dc_low_15m|dc_basis_15m|dc_basis_crossover_3m,candidate_mask|is_invalidated,REENTRY,ez_manage.py:36650-36812,FAIL_CLOSED_N_A_DATA
LEGACY_REENTRY_PSR_QUICK_RECOVERY,bool,true,"[false,true]",LEGACY_PSR,close|atr_3m|k_3m|d_3m,candidate_mask|minutes_since_reduction|last_reduction_price,REENTRY,ez_manage.py:36420-36466,FAIL_CLOSED_N_A_DATA
DIRECTION_FAVORABLE_REENTRY_ENABLED,bool,false,"[false,true]",DIRECTION_FAVORABLE,k_3m|d_3m|wt1_3m|wt2_3m|wt1_15m|wt2_15m|wt1_1h|wt2_1h|wt_trough_structure_15m|wt_peak_structure_15m,candidate_mask|minutes_since_exit|position_notional|start_position_size,REENTRY,ez_manage.py:36050-36104,FAIL_CLOSED_N_A_DATA
REENTRY2_DIR_FAV_ENABLED,bool,true,"[false,true]",DIRECTION_FAVORABLE,k_3m|d_3m|wt1_3m|wt2_3m|wt1_15m|wt2_15m|wt1_1h|wt2_1h|wt_trough_structure_15m|wt_peak_structure_15m,candidate_mask|minutes_since_exit|position_notional|start_position_size,REENTRY,ez_manage.py:36072,FAIL_CLOSED_N_A_DATA
REENTRY_SIZE_BREAKOUT_MULT,float,1.5,[1.5],REENTRY_SIZING,close|k_1h,candidate_mask|reentry_level|base_multiplier,REENTRY,ez_manage.py:35923,FAIL_CLOSED_N_A_DATA
REENTRY_SIZE_DIP_MULT,float,2.0,[2.0],REENTRY_SIZING,close|k_1h,candidate_mask|reentry_level|base_multiplier,REENTRY,ez_manage.py:35923,FAIL_CLOSED_N_A_DATA
REENTRY_SIZE_EXTENDED_K1H,float,90.0,[90.0],REENTRY_SIZING,close|k_1h,candidate_mask|reentry_level|base_multiplier,REENTRY,ez_manage.py:35920,FAIL_CLOSED_N_A_DATA
REENTRY_SIZE_EXTENDED_MULT,float,1.0,[1.0],REENTRY_SIZING,close|k_1h,candidate_mask|reentry_level|base_multiplier,REENTRY,ez_manage.py:35923,FAIL_CLOSED_N_A_DATA
MU_CORRECTION_REENTRY_DC_TOL_PCT,float,2.0,[2.0],MU_CORRECTION_REENTRY,close|dc_low_4h|dc_low_1h|k_1h|d_1h|k_1h_prev|d_1h_prev|k_4h|d_4h|k_4h_prev|d_4h_prev,candidate_mask|is_mu_long|flat|has_reduction|age_minutes|hardcool_minutes,REENTRY,tradier_manage.py:15305-15325,FAIL_CLOSED_N_A_DATA
MU_CORRECTION_REENTRY_ENABLED,bool,false,"[false,true]",MU_CORRECTION_REENTRY,close|dc_low_4h|dc_low_1h|k_1h|d_1h|k_1h_prev|d_1h_prev|k_4h|d_4h|k_4h_prev|d_4h_prev,candidate_mask|is_mu_long|flat|has_reduction|age_minutes|hardcool_minutes,REENTRY,tradier_manage.py:15291-15325,FAIL_CLOSED_N_A_DATA
BOUNCE_REENTRY_K_RESET_LONG_TRADIER,int,35,[35],TRADIER_BOUNCE_RESET,stoch_k_5m|stoch_k_5m_prev,candidate_mask,REENTRY,tradier_manage.py:15524-15533,FAIL_CLOSED_N_A_DATA
BOUNCE_REENTRY_K_RESET_SHORT_TRADIER,int,65,[65],TRADIER_BOUNCE_RESET,stoch_k_5m|stoch_k_5m_prev,candidate_mask,REENTRY,tradier_manage.py:15525-15538,FAIL_CLOSED_N_A_DATA
DAEMON_REENTRY_SHORT_WT_XUNDER_GATE_ENABLED,bool,false,"[false,true]",DAEMON_REENTRY,wt1_3m|wt2_3m|k_3m,candidate_mask|is_short,REENTRY,ez_manage.py:49093-49106,FAIL_CLOSED_N_A_DATA
DAEMON_REENTRY_STALE_EXIT_ENABLED,bool,true,"[false,true]",DAEMON_REENTRY,close,candidate_mask|is_daemon_reentry|position_amount|exit_price,EXIT,ez_manage.py:40585-40628,FAIL_CLOSED_N_A_DATA
DELTA_REENTRY_FILTER_ENABLED,bool,false,"[false,true]",DELTA_REENTRY,,candidate_mask|delta_engine_enabled|has_delta_signal|delta_exiting|delta_tf_count|delta_speed_z,REENTRY,ez_manage.py:301-348,FAIL_CLOSED_N_A_DATA
GUARANTEED_REENTRY_DELTA_GATE_ENABLED,bool,false,"[false,true]",DELTA_REENTRY,,candidate_mask|delta_engine_enabled|has_delta_signal|delta_exiting|delta_tf_count|delta_speed_z,REENTRY,ez_manage.py:30934-30945,FAIL_CLOSED_N_A_DATA
HLR_REENTRY_MAX_AGE_S,float,14400.0,[14400.0],HLR_REENTRY,wt_velocity_1h|wt_velocity_4h|wt_velocity_D|wt_velocity_W|wt_momentum_state_4h|wt_momentum_state_D|wt_momentum_state_W|wt_divergence_4h|wt_divergence_D|wt_peak_structure_4h,candidate_mask|registry_age_seconds|registry_has_qty,REENTRY,ez_positions_quick.py:16083-16089,FAIL_CLOSED_N_A_DATA
HLR_REENTRY_MULT_1H,float,1.5,[1.5],HLR_REENTRY,wt_velocity_1h|wt_velocity_4h|wt_velocity_D|wt_velocity_W|wt_momentum_state_4h|wt_momentum_state_D|wt_momentum_state_W|wt_divergence_4h|wt_divergence_D|wt_peak_structure_4h,candidate_mask|registry_age_seconds|registry_has_qty,EXIT|REENTRY,ez_positions_quick.py:3583-3599,FAIL_CLOSED_N_A_DATA
HLR_REENTRY_MULT_4H,float,2.0,[2.0],HLR_REENTRY,wt_velocity_1h|wt_velocity_4h|wt_velocity_D|wt_velocity_W|wt_momentum_state_4h|wt_momentum_state_D|wt_momentum_state_W|wt_divergence_4h|wt_divergence_D|wt_peak_structure_4h,candidate_mask|registry_age_seconds|registry_has_qty,EXIT|REENTRY,ez_positions_quick.py:3587-3599,FAIL_CLOSED_N_A_DATA
HLR_REENTRY_MULT_D,float,2.5,[2.5],HLR_REENTRY,wt_velocity_1h|wt_velocity_4h|wt_velocity_D|wt_velocity_W|wt_momentum_state_4h|wt_momentum_state_D|wt_momentum_state_W|wt_divergence_4h|wt_divergence_D|wt_peak_structure_4h,candidate_mask|registry_age_seconds|registry_has_qty,EXIT|REENTRY,ez_positions_quick.py:3591-3599,FAIL_CLOSED_N_A_DATA
HLR_REENTRY_MULT_W,float,3.0,[3.0],HLR_REENTRY,wt_velocity_1h|wt_velocity_4h|wt_velocity_D|wt_velocity_W|wt_momentum_state_4h|wt_momentum_state_D|wt_momentum_state_W|wt_divergence_4h|wt_divergence_D|wt_peak_structure_4h,candidate_mask|registry_age_seconds|registry_has_qty,EXIT|REENTRY,ez_positions_quick.py:3595-3599,FAIL_CLOSED_N_A_DATA
AUGMENTED_POSITIONS_GUARD_FLOOR_MULT,float,0.5,[0.5],AUGMENT_GUARDS,,candidate_mask|already_augmented|original_action_was_reentry|gain_pct|min_gain|position_amount|position_min_qty,ENTRY|REENTRY|AUGMENT,ez_manage.py:21590-21603,FAIL_CLOSED_N_A_DATA
MAX_AUGMENTS_PER_POSITION,int,999999,[999999],AUGMENT_GUARDS,,candidate_mask|is_augment|original_action_was_reentry|has_position|augment_count,AUGMENT,ez_manage.py:18453-18460,FAIL_CLOSED_N_A_DATA
UNIVERSAL_AUGMENT_GAIN_GATE_ENABLED,bool,true,"[false,true]",AUGMENT_GUARDS,,candidate_mask|position_amount|position_min_qty|last_augmentation_price|current_price|gain_pct|max_gain_pct|is_long,ENTRY|REENTRY|AUGMENT,ez_manage.py:25587-25635,FAIL_CLOSED_N_A_DATA
HIGH_GAIN_AUGMENTATION_MIN_SIZE,float,200.0,[200.0],AUGMENT_GUARDS,,candidate_mask|position_notional,AUGMENT|REDUCE,ez_manage.py:39031-39035,FAIL_CLOSED_N_A_DATA
DELTA_PYRAMID_MAX,int,8,[8],DELTA_PYRAMID,,candidate_mask|n_entries|last_entry_price|current_price|tf_count|minimum_tf_count|directional_strength|opposing_strength,AUGMENT,wt_dc_delta.py:927-940,FAIL_CLOSED_N_A_DATA
DELTA_PYRAMID_PRICE_TOL,float,0.02,[0.02],DELTA_PYRAMID,,candidate_mask|n_entries|last_entry_price|current_price|tf_count|minimum_tf_count|directional_strength|opposing_strength,AUGMENT,wt_dc_delta.py:928-940,FAIL_CLOSED_N_A_DATA
