field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,source_exact_site,missing_behavior
OBLIGATORY_REENTRY_TIER2_HTF_REQUIRED,int,1,[1],OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:306,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_CROSS_FRESHNESS_ENABLED,bool,false,"[false,true]",CROSS_FRESHNESS,wt_cross_bars_ago_3m|wt_cross_bars_ago_15m|wt_cross_bars_ago_1h,candidate_mask,ez_positions_quick.py:16663,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_CROSS_MAX_BARS_AGO,int,5,"[2,3,5]",CROSS_FRESHNESS,wt_cross_bars_ago_3m|wt_cross_bars_ago_15m|wt_cross_bars_ago_1h,candidate_mask,ez_positions_quick.py:16664-16670,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_B16_MIDRANGE_ENABLED,bool,true,"[false,true]",B16_MIDRANGE,close|dc_high_1h|dc_low_1h|wt1_15m|wt2_15m|wt_velocity_15m|k_15m,,"position_evaluator.py:222-230,370-379",FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_B16_SMA200_PULLBACK_ENABLED,bool,true,"[false,true]",B16_SMA200,close|sma_200_1h|k_1h|k_4h|wt1_1h|wt2_1h|wt_velocity_1h,,ez_positions_quick.py:16784,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_B16_SMA200_PROX_PCT,float,0.005,[0.005],B16_SMA200,close|sma_200_1h|k_1h|k_4h|wt1_1h|wt2_1h|wt_velocity_1h,,ez_positions_quick.py:16789,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_B16_SIZE_MULT_STRONG,float,3.0,[3.0],B16_SMA200,close|sma_200_1h|k_1h|k_4h|wt1_1h|wt2_1h|wt_velocity_1h,,ez_positions_quick.py:16795,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_B16_SIZE_MULT_WEAK,float,1.5,[1.5],B16_SMA200,close|sma_200_1h|k_1h|k_4h|wt1_1h|wt2_1h|wt_velocity_1h,,ez_positions_quick.py:16795,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_EXIT_RECLAIM_ENABLED,bool,true,"[false,true]",EXIT_RECLAIM,close|sma_200_1m|k_3m|k_3m_prev|wt1_15m|wt2_15m|wt_velocity_15m|k_15m,candidate_mask|exit_price,ez_manage.py:32857,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_EXIT_RECLAIM_BUFFER_PCT,float,0.2,[0.2],EXIT_RECLAIM,close|sma_200_1m|k_3m|k_3m_prev|wt1_15m|wt2_15m|wt_velocity_15m|k_15m,candidate_mask|exit_price,ez_manage.py:32860-32886,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_GR_HLHH_MODE,str,"""OR""","[""OR"",""HH"",""HL""]",OVERDUE_GR,close|dc_high_15m|dc_low_15m|high_1h|high_1h_prev|low_1h|low_1h_prev|high_4h|high_4h_prev|low_4h|low_4h_prev|high_D|high_D_prev|low_D|low_D_prev|wt1_1h|wt2_1h|wt1_4h|wt2_4h|wt1_D|wt2_D,candidate_mask,tradier_manage.py:20179-20202,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_GR_MIN_TFS,int,2,"[1,2,3]",OVERDUE_GR,close|dc_high_15m|dc_low_15m|high_1h|high_1h_prev|low_1h|low_1h_prev|high_4h|high_4h_prev|low_4h|low_4h_prev|high_D|high_D_prev|low_D|low_D_prev|wt1_1h|wt2_1h|wt1_4h|wt2_4h|wt1_D|wt2_D,candidate_mask,tradier_manage.py:20180-20202,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_POST_CONSOL_ENABLED,bool,true,"[false,true]",POST_CONSOL,bar_atr_rank_1h|bar_atr_rank_4h|bar_atr_rank_D,candidate_mask|base_multiplier,ez_manage.py:36491,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_POST_CONSOL_ATR_THRESHOLD,float,0.15,[0.15],POST_CONSOL,bar_atr_rank_1h|bar_atr_rank_4h|bar_atr_rank_D,candidate_mask|base_multiplier,ez_manage.py:36493,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_POST_CONSOL_TFS_REQUIRED,int,2,[2],POST_CONSOL,bar_atr_rank_1h|bar_atr_rank_4h|bar_atr_rank_D,candidate_mask|base_multiplier,ez_manage.py:36495,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_POST_CONSOL_MULT,float,1.5,[1.5],POST_CONSOL,bar_atr_rank_1h|bar_atr_rank_4h|bar_atr_rank_D,candidate_mask|base_multiplier,ez_manage.py:36505,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_WT15M_CROSS_ENABLED,bool,true,"[false,true]",WT15M_REENTRY,wt1_15m|wt2_15m|wt1_1h|wt2_1h|wt1_4h|wt2_4h|bar_atr_rank_1h|bar_atr_rank_4h|bar_atr_rank_D,candidate_mask|price_ready,ez_manage.py:36513,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_WT15M_HTF_FAVOR_REQUIRED,bool,true,"[false,true]",WT15M_REENTRY,wt1_15m|wt2_15m|wt1_1h|wt2_1h|wt1_4h|wt2_4h|bar_atr_rank_1h|bar_atr_rank_4h|bar_atr_rank_D,candidate_mask|price_ready,ez_manage.py:36531,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_WT15M_SIZE_MULT,float,1.5,[1.5],WT15M_REENTRY,wt1_15m|wt2_15m|wt1_1h|wt2_1h|wt1_4h|wt2_4h|bar_atr_rank_1h|bar_atr_rank_4h|bar_atr_rank_D,candidate_mask|price_ready,ez_manage.py:36543,FAIL_CLOSED_N_A_DATA_OR_STATE
SCALP_V3_AUG_BE_STOP_ENABLED,bool,true,"[false,true]",SCALP_V3_AUG_BE_STOP,,candidate_mask|is_v3|position_amount|has_augmentation|gain_pct|max_gain_pct,ez_positions_quick.py:18454,FAIL_CLOSED_N_A_DATA_OR_STATE
SCALP_V3_AUG_BE_STOP_PCT,float,0.1,[0.1],SCALP_V3_AUG_BE_STOP,,candidate_mask|is_v3|position_amount|has_augmentation|gain_pct|max_gain_pct,ez_positions_quick.py:18456-18477,FAIL_CLOSED_N_A_DATA_OR_STATE
STRUCTURE_FLIP_REENTRY_ENABLED,bool,false,"[false,true]",STRUCTURE_FLIP,close|high_15m|high_15m_prev|low_15m|low_15m_prev|dc_basis_4h,candidate_mask|has_exit_signature|signature_changed|market_open|has_opposing_position,"tradier_manage.py:6607-6630,13296-13319",FAIL_CLOSED_N_A_DATA_OR_STATE
STRUCTURE_FLIP_REENTRY_TF,str,"""15m""","[""15m""]",STRUCTURE_FLIP,close|high_15m|high_15m_prev|low_15m|low_15m_prev|dc_basis_4h,candidate_mask|has_exit_signature|signature_changed|market_open|has_opposing_position,"tradier_manage.py:6608,13297",FAIL_CLOSED_N_A_DATA_OR_STATE
STRUCTURE_FLIP_REENTRY_BASIS_RESTRICTION_ENABLED,bool,false,"[false,true]",STRUCTURE_FLIP,close|high_15m|high_15m_prev|low_15m|low_15m_prev|dc_basis_4h,candidate_mask|has_exit_signature|signature_changed|market_open|has_opposing_position,"tradier_manage.py:6609,13298",FAIL_CLOSED_N_A_DATA_OR_STATE
STRUCTURE_FLIP_REENTRY_BASIS_TF,str,"""4h""","[""4h""]",STRUCTURE_FLIP,close|high_15m|high_15m_prev|low_15m|low_15m_prev|dc_basis_4h,candidate_mask|has_exit_signature|signature_changed|market_open|has_opposing_position,"tradier_manage.py:6610,13299",FAIL_CLOSED_N_A_DATA_OR_STATE
GUARANTEED_REENTRY_TIGHT_STOP_ENABLED,bool,true,"[false,true]",GUARANTEED_TIGHT_STOP,,candidate_mask|position_amount|position_min_qty|is_guaranteed_reentry|gain_pct|age_seconds,ez_manage.py:43128,FAIL_CLOSED_N_A_DATA_OR_STATE
GUARANTEED_REENTRY_TIGHT_STOP_MAX_AGE_S,float,1800.0,[1800.0],GUARANTEED_TIGHT_STOP,,candidate_mask|position_amount|position_min_qty|is_guaranteed_reentry|gain_pct|age_seconds,ez_manage.py:43164,FAIL_CLOSED_N_A_DATA_OR_STATE
GUARANTEED_REENTRY_TIGHT_STOP_MIN_AGE_S,float,60.0,[60.0],GUARANTEED_TIGHT_STOP,,candidate_mask|position_amount|position_min_qty|is_guaranteed_reentry|gain_pct|age_seconds,ez_manage.py:43161,FAIL_CLOSED_N_A_DATA_OR_STATE
GUARANTEED_REENTRY_TIGHT_STOP_PCT,float,0.5,[0.5],GUARANTEED_TIGHT_STOP,,candidate_mask|position_amount|position_min_qty|is_guaranteed_reentry|gain_pct|age_seconds,ez_manage.py:43146,FAIL_CLOSED_N_A_DATA_OR_STATE
BOUNCE_REENTRY_ENABLED,bool,true,"[false,true]",BOUNCE_REENTRY_PARENT,,candidate_mask|is_exit|minutes_since_reduction,"ez_positions_quick.py:3100,3106",FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_PRICE_IMPROVE_PCT,float,0.08,[0.08],REENTRY_PRICE_IMPROVEMENT,close,candidate_mask|reentry_level,ez_manage.py:36028-36047,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_TIER2_MAX_MINUTES,float,120.0,[120.0],TIERED_REENTRY,close|k_3m|k_3m_prev|k_1m|d_1m,candidate_mask|exit_price|minutes_since_exit,ez_positions_quick.py:15500,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_TIER1_SIZE_MULT,float,1.5,[1.5],TIERED_REENTRY,close|k_3m|k_3m_prev|k_1m|d_1m,candidate_mask|exit_price|minutes_since_exit,ez_positions_quick.py:16091,FAIL_CLOSED_N_A_DATA_OR_STATE
REENTRY_EXHAUSTED_PARTIAL_ENABLED,bool,true,"[false,true]",TIERED_REENTRY,close|k_3m|k_3m_prev|k_1m|d_1m,candidate_mask|exit_price|minutes_since_exit,ez_positions_quick.py:15512,FAIL_CLOSED_N_A_DATA_OR_STATE
