field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,lifecycle_filter_consumers,source_exact_site,missing_behavior
GOLDEN_RULE_DC_D_ENABLED,bool,true,"[false,true]",GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,vec_paths/golden_rule_enforce.py:112-179,FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_DC_W_ENABLED,bool,true,"[false,true]",GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,vec_paths/golden_rule_enforce.py:114-180,FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_ENABLED,bool,true,"[false,true]",GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,vec_paths/golden_rule_enforce.py:77-79,FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_ENTRY_TF_LIST,List[str],[],[],GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,golden_rule_htf.py:104-153;vec_paths/golden_rule_enforce.py:221-231,FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_MULT_15M,float,1.0,[1.0],GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,"vec_paths/golden_rule_enforce.py:116,146-183",FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_MULT_1H,float,1.5,[1.5],GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,"vec_paths/golden_rule_enforce.py:117,146-183",FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_MULT_4H,float,2.0,[2.0],GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,"vec_paths/golden_rule_enforce.py:118,146-183",FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_MULT_D,float,3.0,[3.0],GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,"vec_paths/golden_rule_enforce.py:119,146-183",FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_MULT_W,float,4.0,[4.0],GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,"vec_paths/golden_rule_enforce.py:120,146-183",FAIL_CLOSED_N_A_DATA
GR_TOTAL_VOTE_SCORE_MIN,int,0,[0],GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,golden_rule_htf.py:104-153;vec_paths/golden_rule_enforce.py:274-289,FAIL_CLOSED_N_A_DATA
